None,Cp,time
 12.4658E-12, 29.3250E+06,1650
 12.4661E-12, 29.3304E+06,1660
 12.4661E-12, 29.3304E+06,1670
 12.4666E-12, 29.3293E+06,1680
 12.4666E-12, 29.3293E+06,1690
 12.4667E-12, 29.3265E+06,1700
 12.4667E-12, 29.3265E+06,1710
 12.4672E-12, 29.3154E+06,1720
 12.4675E-12, 29.2971E+06,1730
 12.4675E-12, 29.2971E+06,1740
 12.4676E-12, 29.3028E+06,1750
 12.4676E-12, 29.3028E+06,1760
 12.4676E-12, 29.2864E+06,1770
 12.4676E-12, 29.2864E+06,1780
 12.4674E-12, 29.2775E+06,1790
 12.4680E-12, 29.2556E+06,1800
 12.4680E-12, 29.2556E+06,1810
 12.4686E-12, 29.2512E+06,1820
 12.4686E-12, 29.2512E+06,1830
 12.4692E-12, 29.2410E+06,1840
 12.4692E-12, 29.2410E+06,1850
 12.4693E-12, 29.2178E+06,1860
 12.4694E-12, 29.2074E+06,1870
 12.4694E-12, 29.2074E+06,1880
 12.4703E-12, 29.1978E+06,1890
 12.4703E-12, 29.1978E+06,1900
 12.4703E-12, 29.1639E+06,1910
 12.4700E-12, 29.1348E+06,1920
 12.4700E-12, 29.1348E+06,1930
 12.4704E-12, 29.0964E+06,1940
 12.4704E-12, 29.0964E+06,1950
 12.4705E-12, 29.0755E+06,1960
 12.4705E-12, 29.0755E+06,1970
 12.4701E-12, 29.0587E+06,1980
 12.4702E-12, 29.0213E+06,1990
 12.4702E-12, 29.0213E+06,2000
 12.4693E-12, 29.0093E+06,2010
 12.4693E-12, 29.0093E+06,2020
 12.4687E-12, 28.9906E+06,2030
 12.4687E-12, 28.9906E+06,2040
 12.4683E-12, 28.9853E+06,2050
 12.4683E-12, 28.9853E+06,2060
 12.4671E-12, 29.0036E+06,2070
 12.4663E-12, 29.0402E+06,2080
 12.4663E-12, 29.0402E+06,2090
 12.4661E-12, 29.0616E+06,2100
 12.4651E-12, 29.1124E+06,2110
 12.4651E-12, 29.1124E+06,2120
 12.4643E-12, 29.1254E+06,2130
 12.4643E-12, 29.1254E+06,2140
 12.4638E-12, 29.1669E+06,2150
 12.4638E-12, 29.1669E+06,2160
 12.4632E-12, 29.2036E+06,2170
 12.4632E-12, 29.2036E+06,2180
 12.4629E-12, 29.2349E+06,2190
 12.4627E-12, 29.2697E+06,2200
 12.4627E-12, 29.2697E+06,2210
 12.4631E-12, 29.2779E+06,2220
 12.4631E-12, 29.2779E+06,2230
 12.4635E-12, 29.2750E+06,2240
 12.4643E-12, 29.2884E+06,2250
 12.4643E-12, 29.2884E+06,2260
 12.4651E-12, 29.3024E+06,2270
 12.4651E-12, 29.3024E+06,2280
 12.4655E-12, 29.3071E+06,2290
 12.4655E-12, 29.3071E+06,2300
 12.4669E-12, 29.3168E+06,2310
 12.4669E-12, 29.3168E+06,2320
 12.4676E-12, 29.2845E+06,2330
 12.4680E-12, 29.2811E+06,2340
 12.4680E-12, 29.2811E+06,2350
 12.4687E-12, 29.2513E+06,2360
 12.4691E-12, 29.2467E+06,2370
 12.4691E-12, 29.2467E+06,2380
 12.4688E-12, 29.2244E+06,2390
 12.4688E-12, 29.2244E+06,2400
 12.4689E-12, 29.1906E+06,2410
 12.4689E-12, 29.1906E+06,2420
 12.4683E-12, 29.1403E+06,2430
 12.4683E-12, 29.1403E+06,2440
 12.4676E-12, 29.0983E+06,2450
 12.4676E-12, 29.0983E+06,2460
 12.4676E-12, 29.0626E+06,2470
 12.4667E-12, 29.0451E+06,2480
 12.4667E-12, 29.0451E+06,2490
 12.4659E-12, 29.0409E+06,2500
 12.4659E-12, 29.0409E+06,2510
 12.4653E-12, 29.0215E+06,2520
 12.4646E-12, 29.0012E+06,2530
 12.4646E-12, 29.0012E+06,2540
 12.4639E-12, 28.9844E+06,2550
 12.4639E-12, 28.9844E+06,2560
 12.4634E-12, 29.0149E+06,2570
 12.4634E-12, 29.0149E+06,2580
 12.4632E-12, 29.0416E+06,2590
 12.4633E-12, 29.0896E+06,2600
 12.4633E-12, 29.0896E+06,2610
 12.4630E-12, 29.1210E+06,2620
 12.4630E-12, 29.1210E+06,2630
 12.4626E-12, 29.1646E+06,2640
 12.4622E-12, 29.1769E+06,2650
 12.4622E-12, 29.1769E+06,2660
 12.4623E-12, 29.2109E+06,2670
 12.4623E-12, 29.2109E+06,2680
 12.4627E-12, 29.2319E+06,2690
 12.4627E-12, 29.2319E+06,2700
 12.4630E-12, 29.2756E+06,2710
 12.4639E-12, 29.2947E+06,2720
 12.4639E-12, 29.2947E+06,2730
 12.4646E-12, 29.2948E+06,2740
 12.4646E-12, 29.2948E+06,2750
 12.4650E-12, 29.2987E+06,2760
 12.4652E-12, 29.3024E+06,2770
 12.4652E-12, 29.3024E+06,2780
 12.4664E-12, 29.3022E+06,2790
 12.4664E-12, 29.3022E+06,2800
 12.4674E-12, 29.2676E+06,2810
 12.4674E-12, 29.2676E+06,2820
 12.4680E-12, 29.2512E+06,2830
 12.4680E-12, 29.2512E+06,2840
 12.4689E-12, 29.2043E+06,2850
 12.4696E-12, 29.1835E+06,2860
 12.4696E-12, 29.1835E+06,2870
 12.4697E-12, 29.1664E+06,2880
 12.4697E-12, 29.1664E+06,2890
 12.4698E-12, 29.1427E+06,2900
 12.4698E-12, 29.1427E+06,2910
 12.4696E-12, 29.1185E+06,2920
 12.4697E-12, 29.0793E+06,2930
 12.4697E-12, 29.0793E+06,2940
 12.4695E-12, 29.0281E+06,2950
 12.4695E-12, 29.0281E+06,2960
 12.4682E-12, 28.9971E+06,2970
 12.4682E-12, 28.9971E+06,2980
 12.4658E-12, 28.9942E+06,2990
 12.4637E-12, 28.9870E+06,3000
 12.4637E-12, 28.9870E+06,3010
 12.4608E-12, 29.0319E+06,3020
 12.4575E-12, 29.0551E+06,3030
 12.4575E-12, 29.0551E+06,3040
 12.4547E-12, 29.0625E+06,3050
 12.4547E-12, 29.0625E+06,3060
 12.4514E-12, 29.1000E+06,3070
 12.4514E-12, 29.1000E+06,3080
 12.4488E-12, 29.1212E+06,3090
 12.4488E-12, 29.1212E+06,3100
 12.4463E-12, 29.1817E+06,3110
 12.4442E-12, 29.2464E+06,3120
 12.4442E-12, 29.2464E+06,3130
 12.4426E-12, 29.2723E+06,3140
 12.4423E-12, 29.2992E+06,3150
 12.4423E-12, 29.2992E+06,3160
 12.4420E-12, 29.3315E+06,3170
 12.4420E-12, 29.3315E+06,3180
 12.4423E-12, 29.3224E+06,3190
 12.4423E-12, 29.3224E+06,3200
 12.4431E-12, 29.3380E+06,3210
 12.4431E-12, 29.3380E+06,3220
 12.4440E-12, 29.3737E+06,3230
 12.4455E-12, 29.3620E+06,3240
 12.4455E-12, 29.3620E+06,3250
 12.4463E-12, 29.3587E+06,3260
 12.4463E-12, 29.3587E+06,3270
 12.4471E-12, 29.3385E+06,3280
 12.4476E-12, 29.2984E+06,3290
 12.4476E-12, 29.2984E+06,3300
 12.4484E-12, 29.2969E+06,3310
 12.4484E-12, 29.2969E+06,3320
 12.4489E-12, 29.2764E+06,3330
 12.4489E-12, 29.2764E+06,3340
 12.4497E-12, 29.2554E+06,3350
 12.4497E-12, 29.2554E+06,3360
 12.4503E-12, 29.2041E+06,3370
 12.4508E-12, 29.1500E+06,3380
 12.4508E-12, 29.1500E+06,3390
 12.4510E-12, 29.0930E+06,3400
 12.4505E-12, 29.0733E+06,3410
 12.4505E-12, 29.0733E+06,3420
 12.4505E-12, 29.0551E+06,3430
 12.4505E-12, 29.0551E+06,3440
 12.4502E-12, 29.0234E+06,3450
 12.4502E-12, 29.0234E+06,3460
 12.4508E-12, 29.0130E+06,3470
 12.4506E-12, 29.0067E+06,3480
 12.4506E-12, 29.0067E+06,3490
 12.4505E-12, 28.9915E+06,3500
 12.4505E-12, 28.9915E+06,3510
 12.4506E-12, 28.9821E+06,3520
 12.4506E-12, 28.9821E+06,3530
 12.4507E-12, 28.9985E+06,3540
 12.4510E-12, 29.0055E+06,3550
 12.4510E-12, 29.0055E+06,3560
 12.4515E-12, 28.9977E+06,3570
 12.4515E-12, 28.9977E+06,3580
 12.4521E-12, 29.0015E+06,3590
 12.4525E-12, 28.9874E+06,3600
 12.4525E-12, 28.9874E+06,3610
 12.4525E-12, 28.9874E+06,3620
 12.4528E-12, 29.0031E+06,3630
 12.4525E-12, 29.0099E+06,3640
 12.4525E-12, 29.0099E+06,3650
 12.4530E-12, 28.9850E+06,3660
 12.4530E-12, 28.9850E+06,3670
 12.4532E-12, 29.0022E+06,3680
 12.4531E-12, 28.9944E+06,3690
 12.4531E-12, 28.9944E+06,3700
 12.4529E-12, 28.9972E+06,3710
 12.4529E-12, 28.9972E+06,3720
 12.4519E-12, 29.0267E+06,3730
 12.4519E-12, 29.0267E+06,3740
 12.4508E-12, 29.0601E+06,3750
 12.4494E-12, 29.0579E+06,3760
 12.4494E-12, 29.0579E+06,3770
 12.4471E-12, 29.0952E+06,3780
 12.4471E-12, 29.0952E+06,3790
 12.4452E-12, 29.1031E+06,3800
 12.4436E-12, 29.1171E+06,3810
 12.4436E-12, 29.1171E+06,3820
 12.4412E-12, 29.1429E+06,3830
 12.4412E-12, 29.1429E+06,3840
 12.4397E-12, 29.1400E+06,3850
 12.4397E-12, 29.1400E+06,3860
 12.4382E-12, 29.1597E+06,3870
 12.4363E-12, 29.1798E+06,3880
 12.4363E-12, 29.1798E+06,3890
 12.4358E-12, 29.1706E+06,3900
 12.4358E-12, 29.1706E+06,3910
 12.4347E-12, 29.1685E+06,3920
 12.4347E-12, 29.1685E+06,3930
 12.4341E-12, 29.1837E+06,3940
 12.4341E-12, 29.1837E+06,3950
 12.4348E-12, 29.1610E+06,3960
 12.4344E-12, 29.1476E+06,3970
 12.4344E-12, 29.1476E+06,3980
 12.4339E-12, 29.1335E+06,3990
 12.4342E-12, 29.1553E+06,4000
 12.4342E-12, 29.1553E+06,4010
 12.4342E-12, 29.1553E+06,4020
 12.4335E-12, 29.1346E+06,4030
 12.4326E-12, 29.1357E+06,4040
 12.4326E-12, 29.1357E+06,4050
 12.4324E-12, 29.1467E+06,4060
 12.4324E-12, 29.1467E+06,4070
 12.4317E-12, 29.1204E+06,4080
 12.4317E-12, 29.1204E+06,4090
 12.4315E-12, 29.1278E+06,4100
 12.4315E-12, 29.1160E+06,4110
 12.4310E-12, 29.1364E+06,4120
 12.4310E-12, 29.1364E+06,4130
 12.4310E-12, 29.1364E+06,4140
 12.4312E-12, 29.1497E+06,4150
 12.4318E-12, 29.1562E+06,4160
 12.4318E-12, 29.1562E+06,4170
 12.4319E-12, 29.1266E+06,4180
 12.4319E-12, 29.1266E+06,4190
 12.4324E-12, 29.1506E+06,4200
 12.4324E-12, 29.1506E+06,4210
 12.4326E-12, 29.1463E+06,4220
 12.4325E-12, 29.1120E+06,4230
 12.4325E-12, 29.1120E+06,4240
 12.4323E-12, 29.1283E+06,4250
 12.4323E-12, 29.1283E+06,4260
 12.4324E-12, 29.1127E+06,4270
 12.4324E-12, 29.1127E+06,4280
 12.4319E-12, 29.0963E+06,4290
 12.4318E-12, 29.0655E+06,4300
 12.4318E-12, 29.0655E+06,4310
 12.4318E-12, 29.0531E+06,4320
 12.4318E-12, 29.0531E+06,4330
 12.4320E-12, 29.0483E+06,4340
 12.4334E-12, 29.0215E+06,4350
 12.4334E-12, 29.0215E+06,4360
 12.4354E-12, 28.9897E+06,4370
 12.4354E-12, 28.9897E+06,4380
 12.4386E-12, 28.9702E+06,4390
 12.4386E-12, 28.9702E+06,4400
 12.4414E-12, 28.9849E+06,4410
 12.4414E-12, 28.9849E+06,4420
 12.4443E-12, 28.9711E+06,4430
 12.4478E-12, 28.9515E+06,4440
 12.4478E-12, 28.9515E+06,4450
 12.4516E-12, 28.9752E+06,4460
 12.4516E-12, 28.9752E+06,4470
 12.4554E-12, 28.9806E+06,4480
 12.4554E-12, 28.9806E+06,4490
 12.4586E-12, 28.9641E+06,4500
 12.4615E-12, 28.9408E+06,4510
 12.4615E-12, 28.9408E+06,4520
 12.4638E-12, 28.9712E+06,4530
 12.4638E-12, 28.9712E+06,4540
 12.4650E-12, 28.9812E+06,4550
 12.4656E-12, 28.9773E+06,4560
 12.4656E-12, 28.9773E+06,4570
 12.4667E-12, 28.9599E+06,4580
 12.4667E-12, 28.9599E+06,4590
 12.4679E-12, 28.9500E+06,4600
 12.4679E-12, 28.9500E+06,4610
 12.4683E-12, 28.9603E+06,4620
 12.4686E-12, 28.9273E+06,4630
 12.4686E-12, 28.9273E+06,4640
 12.4686E-12, 28.9019E+06,4650
 12.4686E-12, 28.9019E+06,4660
 12.4686E-12, 28.9019E+06,4670
 12.4686E-12, 28.9019E+06,4680
 12.4686E-12, 28.9133E+06,4690
 12.4678E-12, 28.9115E+06,4700
 12.4678E-12, 28.9115E+06,4710
 12.4670E-12, 28.9028E+06,4720
 12.4670E-12, 28.9028E+06,4730
 12.4664E-12, 28.9029E+06,4740
 12.4664E-12, 28.9029E+06,4750
 12.4645E-12, 28.8973E+06,4760
 12.4619E-12, 28.9049E+06,4770
 12.4619E-12, 28.9049E+06,4780
 12.4585E-12, 28.8879E+06,4790
 12.4547E-12, 28.9088E+06,4800
 12.4547E-12, 28.9088E+06,4810
 12.4515E-12, 28.9110E+06,4820
 12.4515E-12, 28.9110E+06,4830
 12.4483E-12, 28.9291E+06,4840
 12.4483E-12, 28.9291E+06,4850
 12.4445E-12, 28.9098E+06,4860
 12.4413E-12, 28.9256E+06,4870
 12.4413E-12, 28.9256E+06,4880
 12.4391E-12, 28.9463E+06,4890
 12.4391E-12, 28.9463E+06,4900
 12.4366E-12, 28.9512E+06,4910
 12.4349E-12, 28.9719E+06,4920
 12.4349E-12, 28.9719E+06,4930
 12.4349E-12, 28.9719E+06,4940
 12.4339E-12, 29.0002E+06,4950
 12.4333E-12, 29.0027E+06,4960
 12.4333E-12, 29.0027E+06,4970
 12.4340E-12, 28.9846E+06,4980
 12.4340E-12, 28.9846E+06,4990
 12.4338E-12, 28.9920E+06,5000
 12.4338E-12, 28.9944E+06,5010
 12.4338E-12, 28.9944E+06,5020
 12.4342E-12, 29.0106E+06,5030
 12.4342E-12, 29.0106E+06,5040
 12.4346E-12, 29.0000E+06,5050
 12.4346E-12, 29.0000E+06,5060
 12.4346E-12, 29.0155E+06,5070
 12.4345E-12, 29.0158E+06,5080
 12.4345E-12, 29.0158E+06,5090
 12.4348E-12, 29.0133E+06,5100
 12.4357E-12, 29.0080E+06,5110
 12.4357E-12, 29.0080E+06,5120
 12.4366E-12, 29.0114E+06,5130
 12.4366E-12, 29.0114E+06,5140
 12.4371E-12, 29.0138E+06,5150
 12.4371E-12, 29.0138E+06,5160
 12.4381E-12, 29.0349E+06,5170
 12.4381E-12, 29.0349E+06,5180
 12.4391E-12, 29.0358E+06,5190
 12.4403E-12, 29.0246E+06,5200
 12.4403E-12, 29.0246E+06,5210
 12.4408E-12, 29.0115E+06,5220
 12.4408E-12, 29.0115E+06,5230
 12.4418E-12, 28.9967E+06,5240
 12.4427E-12, 28.9967E+06,5250
 12.4427E-12, 28.9967E+06,5260
 12.4434E-12, 29.0081E+06,5270
 12.4434E-12, 29.0081E+06,5280
 12.4434E-12, 29.0045E+06,5290
 12.4434E-12, 29.0045E+06,5300
 12.4434E-12, 29.0363E+06,5310
 12.4433E-12, 29.0407E+06,5320
 12.4433E-12, 29.0407E+06,5330
 12.4434E-12, 29.0354E+06,5340
 12.4434E-12, 29.0354E+06,5350
 12.4439E-12, 29.0229E+06,5360
 12.4439E-12, 29.0229E+06,5370
 12.4437E-12, 29.0276E+06,5380
 12.4437E-12, 29.0276E+06,5390
 12.4443E-12, 29.0434E+06,5400
 12.4445E-12, 29.0371E+06,5410
 12.4445E-12, 29.0371E+06,5420
 12.4450E-12, 29.0477E+06,5430
 12.4450E-12, 29.0477E+06,5440
 12.4453E-12, 29.0353E+06,5450
 12.4453E-12, 29.0353E+06,5460
 12.4451E-12, 29.0139E+06,5470
 12.4461E-12, 28.9994E+06,5480
 12.4461E-12, 28.9994E+06,5490
 12.4460E-12, 28.9910E+06,5500
 12.4463E-12, 28.9944E+06,5510
 12.4463E-12, 28.9944E+06,5520
 12.4463E-12, 28.9944E+06,5530
 12.4458E-12, 29.0100E+06,5540
 12.4457E-12, 29.0208E+06,5550
 12.4457E-12, 29.0208E+06,5560
 12.4457E-12, 29.0340E+06,5570
 12.4457E-12, 29.0340E+06,5580
 12.4450E-12, 29.0392E+06,5590
 12.4450E-12, 29.0299E+06,5600
 12.4450E-12, 29.0299E+06,5610
 12.4451E-12, 29.0160E+06,5620
 12.4454E-12, 29.0231E+06,5630
 12.4454E-12, 29.0231E+06,5640
 12.4453E-12, 29.0314E+06,5650
 12.4453E-12, 29.0314E+06,5660
 12.4453E-12, 29.0577E+06,5670
 12.4453E-12, 29.0577E+06,5680
 12.4444E-12, 29.0704E+06,5690
 12.4444E-12, 29.0704E+06,5700
 12.4440E-12, 29.0739E+06,5710
 12.4444E-12, 29.0846E+06,5720
 12.4444E-12, 29.0846E+06,5730
 12.4442E-12, 29.0622E+06,5740
 12.4442E-12, 29.0622E+06,5750
 12.4443E-12, 29.0910E+06,5760
 12.4443E-12, 29.1046E+06,5770
 12.4443E-12, 29.1046E+06,5780
 12.4438E-12, 29.1255E+06,5790
 12.4438E-12, 29.1255E+06,5800
 12.4441E-12, 29.1513E+06,5810
 12.4441E-12, 29.1513E+06,5820
 12.4440E-12, 29.1371E+06,5830
 12.4440E-12, 29.1371E+06,5840
 12.4445E-12, 29.1527E+06,5850
 12.4451E-12, 29.1368E+06,5860
 12.4451E-12, 29.1368E+06,5870
 12.4450E-12, 29.1152E+06,5880
 12.4450E-12, 29.1152E+06,5890
 12.4450E-12, 29.1355E+06,5900
 12.4451E-12, 29.1409E+06,5910
 12.4451E-12, 29.1409E+06,5920
 12.4451E-12, 29.1271E+06,5930
 12.4451E-12, 29.1271E+06,5940
 12.4445E-12, 29.1226E+06,5950
 12.4445E-12, 29.1226E+06,5960
 12.4450E-12, 29.1372E+06,5970
 12.4450E-12, 29.1372E+06,5980
 12.4458E-12, 29.1126E+06,5990
 12.4472E-12, 29.1453E+06,6000
 12.4472E-12, 29.1453E+06,6010
 12.4517E-12, 29.1364E+06,6020
 12.4517E-12, 29.1364E+06,6030
 12.4680E-12, 29.1320E+06,6040
 12.4680E-12, 29.1320E+06,6050
 12.5065E-12, 29.1576E+06,6060
 12.5721E-12, 29.0767E+06,6070
 12.5721E-12, 29.0767E+06,6080
 12.6346E-12, 29.0384E+06,6090
 12.6346E-12, 29.0384E+06,6100
 12.6698E-12, 28.9937E+06,6110
 12.6879E-12, 28.9725E+06,6120
 12.6879E-12, 28.9725E+06,6130
 12.6903E-12, 28.9628E+06,6140
 12.6903E-12, 28.9628E+06,6150
 12.6867E-12, 28.9784E+06,6160
 12.6843E-12, 28.9552E+06,6170
 12.6843E-12, 28.9552E+06,6180
 12.6768E-12, 28.9383E+06,6190
 12.6768E-12, 28.9383E+06,6200
 12.6571E-12, 28.9566E+06,6210
 12.6571E-12, 28.9566E+06,6220
 12.6168E-12, 28.9453E+06,6230
 12.6168E-12, 28.9453E+06,6240
 12.5497E-12, 29.0084E+06,6250
 12.4876E-12, 29.0427E+06,6260
 12.4876E-12, 29.0427E+06,6270
 12.4533E-12, 29.0679E+06,6280
 12.4533E-12, 29.0679E+06,6290
 12.4361E-12, 29.1076E+06,6300
 12.4339E-12, 29.1133E+06,6310
 12.4339E-12, 29.1133E+06,6320
